Timestamp,24K
2020-01-01,775.0
2020-01-02,776.0
2020-01-03,786.0
2020-01-04,791.0
2020-01-05,792.0
2020-01-06,802.0
2020-01-07,802.0
2020-01-08,808.0
2020-01-09,785.0
2020-01-10,787.0
2020-01-11,787.0
2020-01-12,790.0
2020-01-13,785.0
2020-01-14,780.0
2020-01-15,780.0
2020-01-16,780.0
2020-01-17,783.0
2020-01-18,780.0
2020-01-19,780.0
2020-01-20,780.0
2020-01-21,780.0
2020-01-22,782.0
2020-01-23,782.0
2020-01-24,787.0
2020-01-25,787.0
2020-01-26,787.0
2020-01-27,787.0
2020-01-28,787.0
2020-01-29,789.0
2020-01-30,792.0
2020-01-31,796.0
2020-02-01,798.0
2020-02-02,798.0
2020-02-03,793.0
2020-02-04,783.0
2020-02-05,782.0
2020-02-06,783.0
2020-02-07,783.0
2020-02-08,784.0
2020-02-09,784.0
2020-02-10,785.0
2020-02-11,784.0
2020-02-12,784.0
2020-02-13,783.0
2020-02-14,783.0
2020-02-15,783.0
2020-02-16,786.0
2020-02-17,785.0
2020-02-18,794.0
2020-02-19,796.0
2020-02-20,799.0
2020-02-21,808.0
2020-02-22,809.0
2020-02-23,809.0
2020-02-24,827.0
2020-02-25,815.0
2020-02-26,814.0
2020-02-27,819.0
2020-02-28,791.0
2020-02-29,791.0
2020-03-01,791.0
2020-03-02,799.0
2020-03-03,815.0
2020-03-04,817.0
2020-03-05,824.0
2020-03-06,833.0
2020-03-07,824.0
2020-03-08,824.0
2020-03-09,834.0
2020-03-10,831.0
2020-03-11,830.0
2020-03-12,794.0
2020-03-13,794.0
2020-03-14,782.0
2020-03-15,802.0
2020-03-16,777.0
2020-03-17,780.0
2020-03-18,775.0
2020-03-19,767.0
2020-03-20,771.0
2020-03-21,769.0
2020-03-22,769.0
2020-03-23,780.0
2020-03-24,800.0
2020-03-25,805.0
2020-03-26,802.0
2020-03-27,802.0
2020-03-28,802.0
2020-03-29,802.0
2020-03-30,802.0
2020-03-31,783.0
2020-04-01,789.0
2020-04-02,787.0
2020-04-03,799.0
2020-04-04,799.0
2020-04-05,799.0
2020-04-06,815.0
2020-04-07,819.0
2020-04-08,817.0
2020-04-09,824.0
2020-04-10,835.0
2020-04-11,835.0
2020-04-12,837.0
2020-04-13,849.0
2020-04-14,854.0
2020-04-15,852.0
2020-04-16,857.0
2020-04-17,843.0
2020-04-18,837.0
2020-04-19,837.0
2020-04-20,834.0
2020-04-21,833.0
2020-04-22,850.0
2020-04-23,859.0
2020-04-24,859.0
2020-04-25,859.0
2020-04-26,859.0
2020-04-27,857.0
2020-04-28,850.0
2020-04-29,852.0
2020-04-30,846.0
2020-05-01,850.0
2020-05-02,849.0
2020-05-03,849.0
2020-05-04,852.0
2020-05-05,849.0
2020-05-06,852.0
2020-05-07,857.0
2020-05-08,855.0
2020-05-09,852.0
2020-05-10,852.0
2020-05-11,850.0
2020-05-12,852.0
2020-05-13,856.0
2020-05-14,860.0
2020-05-15,869.0
2020-05-16,865.0
2020-05-17,865.0
2020-05-18,865.0
2020-05-19,869.0
2020-05-20,874.0
2020-05-21,871.0
2020-05-22,872.0
2020-05-23,872.0
2020-05-24,872.0
2020-05-25,872.0
2020-05-26,872.0
2020-05-27,872.0
2020-05-28,872.0
2020-05-29,871.0
2020-05-30,871.0
2020-05-31,872.0
2020-06-01,874.0
2020-06-02,879.0
2020-06-03,878.0
2020-06-04,878.0
2020-06-05,878.0
2020-06-06,886.0
2020-06-07,886.0
2020-06-08,876.0
2020-06-09,878.0
2020-06-10,887.0
2020-06-11,886.0
2020-06-12,889.0
2020-06-13,889.0
2020-06-14,889.0
2020-06-15,882.0
2020-06-16,888.0
2020-06-17,884.0
2020-06-18,888.0
2020-06-19,893.0
2020-06-20,894.0
2020-06-21,894.0
2020-06-22,898.0
2020-06-23,908.0
2020-06-24,908.0
2020-06-25,905.0
2020-06-26,903.0
2020-06-27,908.0
2020-06-28,908.0
2020-06-29,910.0
2020-06-30,912.0
2020-07-01,907.0
2020-07-02,910.0
2020-07-03,908.0
2020-07-04,908.0
2020-07-05,908.0
2020-07-06,908.0
2020-07-07,908.0
2020-07-08,917.0
2020-07-09,914.0
2020-07-10,914.0
2020-07-11,914.0
2020-07-12,914.0
2020-07-13,914.0
2020-07-14,914.0
2020-07-15,917.0
2020-07-16,917.0
2020-07-17,917.0
2020-07-18,920.0
2020-07-19,920.0
2020-07-20,923.0
2020-07-21,937.0
2020-07-22,951.0
2020-07-23,963.0
2020-07-24,968.0
2020-07-25,969.0
2020-07-26,971.0
2020-07-27,992.0
2020-07-28,999.0
2020-07-29,1001.0
2020-07-30,998.0
2020-07-31,1001.0
2020-08-01,1006.0
2020-08-02,1006.0
2020-08-03,1006.0
2020-08-04,1034.0
2020-08-05,1046.0
2020-08-06,1056.0
2020-08-07,1040.0
2020-08-08,1040.0
2020-08-09,1040.0
2020-08-10,1034.0
2020-08-11,971.0
2020-08-12,971.0
2020-08-13,992.0
2020-08-14,983.0
2020-08-15,983.0
2020-08-16,978.0
2020-08-17,1002.0
2020-08-18,1010.0
2020-08-19,985.0
2020-08-20,978.0
2020-08-21,980.0
2020-08-22,980.0
2020-08-23,978.0
2020-08-24,974.0
2020-08-25,963.0
2020-08-26,978.0
2020-08-27,969.0
2020-08-28,985.0
2020-08-29,984.0
2020-08-30,984.0
2020-08-31,986.0
2020-09-01,992.0
2020-09-02,975.0
2020-09-03,968.0
2020-09-04,967.0
2020-09-05,969.0
2020-09-06,969.0
2020-09-07,963.0
2020-09-08,967.0
2020-09-09,971.0
2020-09-10,978.0
2020-09-11,971.0
2020-09-12,971.0
2020-09-13,967.0
2020-09-14,977.0
2020-09-15,977.0
2020-09-16,977.0
2020-09-17,969.0
2020-09-18,974.0
2020-09-19,971.0
2020-09-20,971.0
2020-09-21,951.0
2020-09-22,955.0
2020-09-23,937.0
2020-09-24,937.0
2020-09-25,931.0
2020-09-26,931.0
2020-09-27,931.0
2020-09-28,937.0
2020-09-29,947.0
2020-09-30,946.0
2020-10-01,951.0
2020-10-02,951.0
2020-10-03,948.0
2020-10-04,948.0
2020-10-05,951.0
2020-10-06,937.0
2020-10-07,937.0
2020-10-08,943.0
2020-10-09,956.0
2020-10-10,956.0
2020-10-11,956.0
2020-10-12,954.0
2020-10-13,940.0
2020-10-14,948.0
2020-10-15,943.0
2020-10-16,948.0
2020-10-17,943.0
2020-10-18,943.0
2020-10-19,948.0
2020-10-20,951.0
2020-10-21,961.0
2020-10-22,951.0
2020-10-23,947.0
2020-10-24,948.0
2020-10-25,948.0
2020-10-26,948.0
2020-10-27,948.0
2020-10-28,940.0
2020-10-29,940.0
2020-10-30,940.0
2020-10-31,940.0
2020-11-01,940.0
2020-11-02,945.0
2020-11-03,948.0
2020-11-04,953.0
2020-11-05,967.0
2020-11-06,967.0
2020-11-07,971.0
2020-11-08,971.0
2020-11-09,929.0
2020-11-10,937.0
2020-11-11,934.0
2020-11-12,937.0
2020-11-13,943.0
2020-11-14,943.0
2020-11-15,943.0
2020-11-16,937.0
2020-11-17,937.0
2020-11-18,936.0
2020-11-19,926.0
2020-11-20,931.0
2020-11-21,931.0
2020-11-22,931.0
2020-11-23,912.0
2020-11-24,902.0
2020-11-25,902.0
2020-11-26,903.0
2020-11-27,886.0
2020-11-28,886.0
2020-11-29,889.0
2020-11-30,886.0
2020-12-01,900.0
2020-12-02,912.0
2020-12-03,918.0
2020-12-04,917.0
2020-12-05,917.0
2020-12-06,917.0
2020-12-07,921.0
2020-12-08,928.0
2020-12-09,914.0
2020-12-10,920.0
2020-12-11,914.0
2020-12-12,918.0
2020-12-13,918.0
2020-12-14,914.0
2020-12-15,926.0
2020-12-16,926.0
2020-12-17,940.0
2020-12-18,940.0
2020-12-19,937.0
2020-12-20,937.0
2020-12-21,937.0
2020-12-22,930.0
2020-12-23,931.0
2020-12-24,931.0
2020-12-25,931.0
2020-12-26,935.0
2020-12-27,935.0
2020-12-28,940.0
2020-12-29,936.0
2020-12-30,936.0
2020-12-31,944.0
2021-01-01,946.0
2021-01-02,945.0
2021-01-03,945.0
2021-01-04,963.0
2021-01-05,966.0
2021-01-06,951.0
2021-01-07,951.0
2021-01-08,943.0
2021-01-09,926.0
2021-01-10,926.0
2021-01-11,923.0
2021-01-12,920.0
2021-01-13,923.0
2021-01-14,923.0
2021-01-15,918.0
2021-01-16,918.0
2021-01-17,915.0
2021-01-18,917.0
2021-01-19,921.0
2021-01-20,931.0
2021-01-21,934.0
2021-01-22,928.0
2021-01-23,928.0
2021-01-24,928.0
2021-01-25,931.0
2021-01-26,929.0
2021-01-27,926.0
2021-01-28,926.0
2021-01-29,931.0
2021-01-30,931.0
2021-01-31,931.0
2021-02-01,934.0
2021-02-02,923.0
2021-02-03,923.0
2021-02-04,902.0
2021-02-05,910.0
2021-02-06,908.0
2021-02-07,908.0
2021-02-08,915.0
2021-02-09,914.0
2021-02-10,918.0
2021-02-11,911.0
2021-02-12,908.0
2021-02-13,907.0
