Date,AVG
2020-01-01,16.75
2020-01-02,16.75
2020-01-03,17.8
2020-01-04,17.8
2020-01-05,17.8
2020-01-06,18.2925
2020-01-07,16.840000000000003
2020-01-08,17.135
2020-01-09,15.5625
2020-01-10,14.1175
2020-01-11,14.1175
2020-01-12,14.1175
2020-01-13,11.8675
2020-01-14,15.094999999999999
2020-01-15,14.02
2020-01-16,14.239999999999998
2020-01-17,13.907499999999999
2020-01-18,13.907499999999999
2020-01-19,13.907499999999999
2020-01-20,13.907499999999999
2020-01-21,14.997499999999999
2020-01-22,14.725000000000001
2020-01-23,16.1
2020-01-24,17.805
2020-01-25,17.805
2020-01-26,17.805
2020-01-27,23.060000000000002
2020-01-28,20.8425
2020-01-29,19.41
2020-01-30,19.994999999999997
2020-01-31,22.245
2020-02-01,22.245
2020-02-02,22.245
2020-02-03,21.755000000000003
2020-02-04,19.6575
2020-02-05,19.26
2020-02-06,18.995
2020-02-07,19.5575
2020-02-08,19.5575
2020-02-09,19.5575
2020-02-10,19.1575
2020-02-11,17.9475
2020-02-12,17.325
2020-02-13,18.0775
2020-02-14,17.4275
2020-02-15,17.4275
2020-02-16,17.4275
2020-02-17,17.4275
2020-02-18,17.93
2020-02-19,17.25
2020-02-20,18.1825
2020-02-21,19.0525
2020-02-22,19.0525
2020-02-23,19.0525
2020-02-24,22.305
2020-02-25,25.222500000000004
2020-02-26,25.552500000000002
2020-02-27,29.1575
2020-02-28,40.065
2020-02-29,40.065
2020-03-01,40.065
2020-03-02,35.475
2020-03-03,31.1075
2020-03-04,29.294999999999998
2020-03-05,28.7125
2020-03-06,34.905
2020-03-07,34.905
2020-03-08,34.905
2020-03-09,59.195
2020-03-10,41.6575
2020-03-11,47.175
2020-03-12,57.58
2020-03-13,63.927499999999995
2020-03-14,63.927499999999995
2020-03-15,63.927499999999995
2020-03-16,100.64
2020-03-17,81.3275
2020-03-18,84.66
2020-03-19,85.36
2020-03-20,75.15
2020-03-21,75.15
2020-03-22,75.15
2020-03-23,65.7
2020-03-24,56.7875
2020-03-25,56.705
2020-03-26,53.357499999999995
2020-03-27,58.472500000000004
2020-03-28,58.472500000000004
2020-03-29,58.472500000000004
2020-03-30,57.51
2020-03-31,52.11
2020-04-01,56.5075
2020-04-02,51.6075
2020-04-03,47.995
2020-04-04,47.995
2020-04-05,47.995
2020-04-06,49.035000000000004
2020-04-07,41.38
2020-04-08,42.1225
2020-04-09,44.2925
2020-04-10,44.2925
2020-04-11,44.2925
2020-04-12,44.2925
2020-04-13,41.2975
2020-04-14,37.42
2020-04-15,41.35
2020-04-16,40.072500000000005
2020-04-17,36.5175
2020-04-18,36.5175
2020-04-19,36.5175
2020-04-20,38.58
2020-04-21,43.565
2020-04-22,43.8075
2020-04-23,41.2075
2020-04-24,43.245
2020-04-25,43.245
2020-04-26,43.245
2020-04-27,36.057500000000005
2020-04-28,34.655
2020-04-29,31.165
2020-04-30,37.0075
2020-05-01,42.447500000000005
2020-05-02,42.447500000000005
2020-05-03,42.447500000000005
2020-05-04,41.125
2020-05-05,37.2
2020-05-06,42.4275
2020-05-07,35.065
2020-05-08,34.14
2020-05-09,34.14
2020-05-10,34.14
2020-05-11,34.6725
2020-05-12,32.0975
2020-05-13,35.1225
2020-05-14,36.7825
2020-05-15,35.337500000000006
2020-05-16,35.337500000000006
2020-05-17,35.337500000000006
2020-05-18,31.485
2020-05-19,30.2325
2020-05-20,29.255000000000003
2020-05-21,30.7025
2020-05-22,32.2625
2020-05-23,32.2625
2020-05-24,32.2625
2020-05-25,32.2625
2020-05-26,30.625
2020-05-27,30.4
2020-05-28,31.705000000000002
2020-05-29,33.4275
2020-05-30,33.4275
2020-05-31,33.4275
2020-06-01,30.022499999999997
2020-06-02,36.8675
2020-06-03,28.22
2020-06-04,27.802500000000002
2020-06-05,26.950000000000003
2020-06-06,26.950000000000003
2020-06-07,26.950000000000003
2020-06-08,27.665000000000003
2020-06-09,28.0075
2020-06-10,27.725
2020-06-11,37.339999999999996
2020-06-12,43.8025
2020-06-13,43.8025
2020-06-14,43.8025
2020-06-15,40.004999999999995
2020-06-16,36.2025
2020-06-17,35.9875
2020-06-18,35.8875
2020-06-19,31.9575
2020-06-20,31.9575
2020-06-21,31.9575
2020-06-22,31.232499999999998
2020-06-23,29.115000000000002
2020-06-24,31.68
2020-06-25,32.29
2020-06-26,30.355
2020-06-27,30.355
2020-06-28,30.355
2020-06-29,31.927500000000002
2020-06-30,29.24
2020-07-01,27.240000000000002
2020-07-02,25.195
2020-07-03,25.195
2020-07-04,25.195
2020-07-05,25.195
2020-07-06,26.275
2020-07-07,28.3175
2020-07-08,27.3925
2020-07-09,28.155
2020-07-10,29.8275
2020-07-11,29.8275
2020-07-12,29.8275
2020-07-13,28.405
2020-07-14,30.29
2020-07-15,29.055
2020-07-16,27.865
2020-07-17,24.4775
2020-07-18,24.4775
2020-07-19,24.4775
2020-07-20,23.692500000000003
2020-07-21,22.6625
2020-07-22,23.45
2020-07-23,23.372500000000002
2020-07-24,35.644999999999996
2020-07-25,35.644999999999996
2020-07-26,35.644999999999996
2020-07-27,24.752499999999998
2020-07-28,24.605
2020-07-29,23.77
2020-07-30,24.265
2020-07-31,23.6925
2020-08-01,23.6925
2020-08-02,23.6925
2020-08-03,23.52
2020-08-04,22.965
2020-08-05,22.0825
2020-08-06,23.0375
2020-08-07,24.54
2020-08-08,24.54
2020-08-09,24.54
2020-08-10,24.3475
2020-08-11,24.220000000000002
2020-08-12,23.042499999999997
2020-08-13,22.485
2020-08-14,23.522499999999997
2020-08-15,23.522499999999997
2020-08-16,23.522499999999997
2020-08-17,21.514999999999997
2020-08-18,20.895
2020-08-19,21.855
2020-08-20,23.845
2020-08-21,22.8675
2020-08-22,22.8675
2020-08-23,22.8675
2020-08-24,21.932499999999997
2020-08-25,22.2625
2020-08-26,22.955000000000002
2020-08-27,25.467499999999998
2020-08-28,23.11
2020-08-29,23.11
2020-08-30,23.11
2020-08-31,30.31
2020-09-01,29.67
2020-09-02,26.6575
2020-09-03,29.785
2020-09-04,35.5225
2020-09-05,35.5225
2020-09-06,35.5225
2020-09-07,35.5225
2020-09-08,32.215
2020-09-09,27.332500000000003
2020-09-10,24.465
2020-09-11,22.6625
2020-09-12,22.6625
2020-09-13,22.6625
2020-09-14,22.417499999999997
2020-09-15,24.394999999999996
2020-09-16,23.4725
2020-09-17,24.19
2020-09-18,22.247500000000002
2020-09-19,22.247500000000002
2020-09-20,22.247500000000002
2020-09-21,26.77
2020-09-22,25.165000000000003
2020-09-23,26.259999999999998
2020-09-24,30.0375
2020-09-25,27.152499999999996
2020-09-26,27.152499999999996
2020-09-27,27.152499999999996
2020-09-28,26.6225
2020-09-29,27.130000000000003
2020-09-30,26.8075
2020-10-01,28.790000000000003
2020-10-02,27.0025
2020-10-03,27.0025
2020-10-04,27.0025
2020-10-05,28.29
2020-10-06,27.325000000000003
2020-10-07,27.3225
2020-10-08,26.394999999999996
2020-10-09,23.79
2020-10-10,23.79
2020-10-11,23.79
2020-10-12,20.9625
2020-10-13,22.2025
2020-10-14,22.8125
2020-10-15,21.502499999999998
2020-10-16,21.502499999999998
2020-10-17,21.502499999999998
2020-10-18,21.502499999999998
2020-10-19,25.1375
2020-10-20,25.990000000000002
2020-10-21,30.04
2020-10-22,29.795
2020-10-23,29.615
2020-10-24,29.615
2020-10-25,29.615
2020-10-26,31.722500000000004
2020-10-27,29.3475
2020-10-28,33.0275
2020-10-29,32.1725
2020-10-30,31.894999999999996
2020-10-31,31.894999999999996
2020-11-01,31.894999999999996
2020-11-02,35.015
2020-11-03,36.9675
2020-11-04,27.665
2020-11-05,26.432499999999997
2020-11-06,24.905
2020-11-07,24.905
2020-11-08,24.905
2020-11-09,23.595
2020-11-10,23.7025
2020-11-11,29.975
2020-11-12,24.9225
2020-11-13,22.72
2020-11-14,22.72
2020-11-15,22.72
2020-11-16,24.895000000000003
2020-11-17,21.810000000000002
2020-11-18,21.8625
2020-11-19,22.14
2020-11-20,21.67
2020-11-21,21.67
2020-11-22,21.67
2020-11-23,21.435000000000002
2020-11-24,21.47
2020-11-25,21.03
2020-11-26,21.03
2020-11-27,22.3125
2020-11-28,22.3125
2020-11-29,22.3125
2020-11-30,25.9875
2020-12-01,25.744999999999997
2020-12-02,26.667499999999997
2020-12-03,24.87
2020-12-04,26.515
2020-12-05,26.515
2020-12-06,26.515
2020-12-07,27.6625
2020-12-08,23.765
2020-12-09,23.295
2020-12-10,21.8125
2020-12-11,21.622500000000002
2020-12-12,21.622500000000002
2020-12-13,21.622500000000002
2020-12-14,23.422500000000003
2020-12-15,23.4225
2020-12-16,23.55
2020-12-17,22.455000000000002
2020-12-18,21.345000000000002
2020-12-19,21.345000000000002
2020-12-20,21.345000000000002
2020-12-21,25.5125
2020-12-22,24.625
2020-12-23,24.5725
2020-12-24,24.987499999999997
2020-12-25,24.987499999999997
2020-12-26,24.987499999999997
2020-12-27,24.987499999999997
2020-12-28,27.4
2020-12-29,25.5325
2020-12-30,23.580000000000002
2020-12-31,23.735
2021-01-01,23.735
2021-01-02,23.735
2021-01-03,23.735
2021-01-04,26.6475
2021-01-05,26.2575
2021-01-06,26.354999999999997
2021-01-07,25.135
2021-01-08,22.345
2021-01-09,22.345
2021-01-10,22.345
2021-01-11,26.439999999999998
2021-01-12,27.67
2021-01-13,26.482499999999998
2021-01-14,26.505
2021-01-15,25.455000000000002
2021-01-16,25.455000000000002
2021-01-17,25.455000000000002
2021-01-18,25.455000000000002
2021-01-19,26.045
2021-01-20,25.025
2021-01-21,25.2975
2021-01-22,26.567500000000003
2021-01-23,26.567500000000003
2021-01-24,26.567500000000003
2021-01-25,29.1675
2021-01-26,27.8325
2021-01-27,28.515
2021-01-28,27.895
2021-01-29,30.7375
2021-01-30,30.7375
2021-01-31,30.7375
2021-02-01,28.42
2021-02-02,25.765
2021-02-03,23.912499999999998
2021-02-04,22.732499999999998
2021-02-05,21.5075
2021-02-06,21.5075
2021-02-07,21.5075
2021-02-08,22.012500000000003
2021-02-09,22.0025
2021-02-10,23.39
2021-02-11,23.2025
2021-02-12,23.765
2021-02-13,23.765
2021-02-14,23.765
2021-02-15,23.765
2021-02-16,25.000000000000004
2021-02-17,22.99
2021-02-18,23.724999999999998
2021-02-19,24.205
2021-02-20,24.205
2021-02-21,24.205
2021-02-22,24.5475
2021-02-23,28.47
2021-02-24,26.77
2021-02-25,28.845
2021-02-26,29.467499999999998
2021-02-27,29.467499999999998
2021-02-28,29.467499999999998
2021-03-01,28.3175
2021-03-02,27.357499999999998
2021-03-03,27.4825
2021-03-04,30.1625
2021-03-05,31.482499999999998
2021-03-06,31.482499999999998
2021-03-07,31.482499999999998
2021-03-08,30.055000000000003
2021-03-09,27.9225
2021-03-10,27.2775
2021-03-11,24.7975
2021-03-12,26.7975
2021-03-13,26.7975
2021-03-14,26.7975
2021-03-15,26.5625
2021-03-16,25.23
2021-03-17,24.589999999999996
2021-03-18,25.3375
2021-03-19,25.717499999999998
2021-03-20,25.717499999999998
2021-03-21,25.717499999999998
2021-03-22,27.3075
2021-03-23,24.435
2021-03-24,25.2625
2021-03-25,27.3975
2021-03-26,24.64
2021-03-27,24.64
2021-03-28,24.64
2021-03-29,25.4975
2021-03-30,25.470000000000002
2021-03-31,24.61
2021-04-01,23.195
2021-04-02,23.195
2021-04-03,23.195
2021-04-04,23.195
2021-04-05,23.2
2021-04-06,20.777499999999996
2021-04-07,22.495
2021-04-08,21.7025
2021-04-09,23.505
2021-04-10,23.505
2021-04-11,23.505
2021-04-12,20.7975
2021-04-13,20.3325
2021-04-14,21.052500000000002
2021-04-15,31.0725
2021-04-16,18.84
2021-04-17,18.84
2021-04-18,18.84
2021-04-19,19.11
2021-04-20,20.4775
2021-04-21,20.6875
2021-04-22,36.4725
2021-04-23,19.8275
2021-04-24,19.8275
2021-04-25,19.8275
2021-04-26,22.0325
2021-04-27,19.967499999999998
2021-04-28,19.717499999999998
2021-04-29,21.16
2021-04-30,20.935000000000002
2021-05-01,20.935000000000002
2021-05-02,20.935000000000002
2021-05-03,21.3725
2021-05-04,24.8775
2021-05-05,26.982499999999998
2021-05-06,21.3925
2021-05-07,19.945
2021-05-08,19.945
2021-05-09,19.945
2021-05-10,22.2825
2021-05-11,23.660000000000004
2021-05-12,27.377499999999998
2021-05-13,27.2375
2021-05-14,23.497500000000002
2021-05-15,23.497500000000002
2021-05-16,23.497500000000002
2021-05-17,22.445000000000004
2021-05-18,23.785
2021-05-19,23.937500000000004
2021-05-20,23.26
2021-05-21,22.775000000000002
2021-05-22,22.775000000000002
2021-05-23,22.775000000000002
2021-05-24,21.66
2021-05-25,20.92
2021-05-26,20.0375
2021-05-27,19.4525
2021-05-28,18.560000000000002
2021-05-29,18.560000000000002
2021-05-30,18.560000000000002
2021-05-31,18.560000000000002
