Date,Weighted_index
1/1/2020,14.505277
1/2/2020,14.50627734
1/3/2020,14.50627734
1/4/2020,14.50627734
1/5/2020,14.27501022
1/6/2020,12.86957187
1/7/2020,12.86957187
1/8/2020,15.47653627
1/9/2020,13.40859207
1/10/2020,13.40859207
1/11/2020,13.40859207
1/12/2020,12.33454413
1/13/2020,12.15421385
1/14/2020,12.70439366
1/15/2020,22.82413844
1/16/2020,14.76112325
1/17/2020,14.76112325
1/18/2020,14.76112325
1/19/2020,14.16855334
1/20/2020,10.62197648
1/21/2020,11.27674472
1/22/2020,15.21039554
1/23/2020,16.04018139
1/24/2020,16.04018139
1/25/2020,16.04018139
1/26/2020,14.78656711
1/27/2020,21.5851999
1/28/2020,12.0711086
1/29/2020,19.35562482
1/30/2020,10.60654749
1/31/2020,10.60654749
2/1/2020,10.60654749
2/2/2020,16.26946988
2/3/2020,15.38483764
2/4/2020,18.0669941
2/5/2020,8.393563737
2/6/2020,17.95092826
2/7/2020,17.95092826
2/8/2020,17.95092826
2/9/2020,18.41191031
2/10/2020,16.63553145
2/11/2020,21.43321958
2/12/2020,12.36964611
2/13/2020,23.96827883
2/14/2020,23.96827883
2/15/2020,23.96827883
2/16/2020,15.68358144
2/17/2020,16.65993462
2/18/2020,10.07070064
2/19/2020,13.51114725
2/20/2020,10.62954537
2/21/2020,10.62954537
2/22/2020,10.62954537
2/23/2020,12.01430477
2/24/2020,11.05128836
2/25/2020,10.92066223
2/26/2020,9.991548691
2/27/2020,21.57692178
2/28/2020,21.57692178
2/29/2020,21.57692178
3/1/2020,14.68244327
3/2/2020,12.95477524
3/3/2020,13.4875601
3/4/2020,17.72383012
3/5/2020,39.45984276
3/6/2020,39.45984276
3/7/2020,39.45984276
3/8/2020,21.20889848
3/9/2020,16.49938211
3/10/2020,12.75062247
3/11/2020,19.01067441
3/12/2020,19.01067441
3/13/2020,19.01067441
3/14/2020,19.01067441
3/15/2020,14.9503679
3/16/2020,15.02453706
3/17/2020,10.93302141
3/18/2020,14.08877044
3/19/2020,13.05339478
3/20/2020,13.05339478
3/21/2020,13.05339478
3/22/2020,23.1847029
3/23/2020,25.44873957
3/24/2020,18.91572297
3/25/2020,16.52937061
3/26/2020,15.20563392
3/27/2020,15.20563392
3/28/2020,15.20563392
3/29/2020,13.47497465
3/30/2020,15.75170768
3/31/2020,12.33937864
4/1/2020,14.66207748
4/2/2020,11.99545138
4/3/2020,11.99545138
4/4/2020,11.99545138
4/5/2020,14.20870802
4/6/2020,18.52428407
4/7/2020,11.76429497
4/8/2020,10.56991727
4/9/2020,11.90866033
4/10/2020,11.90866033
4/11/2020,11.90866033
4/12/2020,10.48886561
4/13/2020,17.27947632
4/14/2020,14.02579798
4/15/2020,14.50979726
4/16/2020,16.28357736
4/17/2020,16.28357736
4/18/2020,16.28357736
4/19/2020,16.28357736
4/20/2020,16.28357736
4/21/2020,17.98545125
4/22/2020,15.61774708
4/23/2020,14.88116836
4/24/2020,14.88116836
4/25/2020,14.88116836
4/26/2020,12.42181369
4/27/2020,15.0517454
4/28/2020,12.34007046
4/29/2020,16.89560275
4/30/2020,12.9868402
5/1/2020,12.9868402
5/2/2020,12.9868402
5/3/2020,13.74836578
5/4/2020,9.50157452
5/5/2020,12.82930646
5/6/2020,19.31410422
5/7/2020,14.38271959
5/8/2020,14.38271959
5/9/2020,14.38271959
5/10/2020,16.03814943
