Date,pct_change
1/1/2020,0.129032258
1/2/2020,1.288659794
1/3/2020,0.636132316
1/4/2020,0.12642225
1/5/2020,1.262626263
1/6/2020,0
1/7/2020,0.748129676
1/8/2020,-2.846534653
1/9/2020,0.25477707
1/10/2020,0
1/11/2020,0.381194409
1/12/2020,-0.632911392
1/13/2020,-0.636942675
1/14/2020,0
1/15/2020,0
1/16/2020,0.384615385
1/17/2020,-0.383141762
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0.256410256
1/22/2020,0
1/23/2020,0.639386189
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0.254129606
1/29/2020,0.380228137
1/30/2020,0.505050505
1/31/2020,0.251256281
2/1/2020,0
2/2/2020,-0.626566416
2/3/2020,-1.261034048
2/4/2020,-0.127713921
2/5/2020,0.127877238
2/6/2020,0
2/7/2020,0.127713921
2/8/2020,0
2/9/2020,0.12755102
2/10/2020,-0.127388535
2/11/2020,0
2/12/2020,-0.12755102
2/13/2020,0
2/14/2020,0
2/15/2020,0.383141762
2/16/2020,-0.127226463
2/17/2020,1.146496815
2/18/2020,0.251889169
2/19/2020,0.376884422
2/20/2020,1.12640801
2/21/2020,0.123762376
2/22/2020,0
2/23/2020,2.224969098
2/24/2020,-1.451027811
2/25/2020,-0.122699387
2/26/2020,0.614250614
2/27/2020,-3.418803419
2/28/2020,0
2/29/2020,0
3/1/2020,1.011378003
3/2/2020,2.002503129
3/3/2020,0.245398773
3/4/2020,0.856793146
3/5/2020,1.09223301
3/6/2020,-1.080432173
3/7/2020,0
3/8/2020,1.213592233
3/9/2020,-0.35971223
3/10/2020,-0.120336943
3/11/2020,-4.337349398
3/12/2020,0
3/13/2020,-1.511335013
3/14/2020,2.557544757
3/15/2020,-3.117206983
3/16/2020,0.386100386
3/17/2020,-0.641025641
3/18/2020,-1.032258065
3/19/2020,0.521512386
3/20/2020,-0.259403372
3/21/2020,0
3/22/2020,1.430429129
3/23/2020,2.564102564
3/24/2020,0.625
3/25/2020,-0.372670807
3/26/2020,0
3/27/2020,0
3/28/2020,0
3/29/2020,0
3/30/2020,-2.369077307
3/31/2020,0.766283525
4/1/2020,-0.253485425
4/2/2020,1.524777637
4/3/2020,0
4/4/2020,0
4/5/2020,2.002503129
4/6/2020,0.490797546
4/7/2020,-0.244200244
4/8/2020,0.856793146
4/9/2020,1.334951456
4/10/2020,0
4/11/2020,0.239520958
4/12/2020,1.433691756
4/13/2020,0.588928151
4/14/2020,-0.234192037
4/15/2020,0.58685446
4/16/2020,-1.633605601
4/17/2020,-0.711743772
4/18/2020,0
4/19/2020,-0.358422939
4/20/2020,-0.119904077
4/21/2020,2.040816327
4/22/2020,1.058823529
4/23/2020,0
4/24/2020,0
4/25/2020,0
4/26/2020,-0.232828871
4/27/2020,-0.8168028
4/28/2020,0.235294118
4/29/2020,-0.704225352
4/30/2020,0.472813239
5/1/2020,-0.117647059
5/2/2020,0
5/3/2020,0.35335689
5/4/2020,-0.352112676
5/5/2020,0.35335689
5/6/2020,0.58685446
5/7/2020,-0.233372229
5/8/2020,-0.350877193
5/9/2020,0
5/10/2020,-0.234741784
5/11/2020,0.235294118
5/12/2020,0.469483568
5/13/2020,0.46728972
5/14/2020,1.046511628
5/15/2020,-0.460299194
5/16/2020,0
5/17/2020,0
5/18/2020,0.462427746
5/19/2020,0.575373993
5/20/2020,-0.343249428
5/21/2020,0.114810563
5/22/2020,0
5/23/2020,0
5/24/2020,0
5/25/2020,0
5/26/2020,0
5/27/2020,0
5/28/2020,-0.114678899
5/29/2020,0
5/30/2020,0.114810563
5/31/2020,0.229357798
6/1/2020,0.57208238
6/2/2020,-0.113765643
6/3/2020,0
6/4/2020,0
6/5/2020,0.911161731
6/6/2020,0
6/7/2020,-1.128668172
6/8/2020,0.228310502
6/9/2020,1.025056948
6/10/2020,-0.112739572
6/11/2020,0.338600451
6/12/2020,0
6/13/2020,0
6/14/2020,-0.787401575
6/15/2020,0.680272109
6/16/2020,-0.45045045
6/17/2020,0.452488688
6/18/2020,0.563063063
6/19/2020,0.111982083
6/20/2020,0
6/21/2020,0.447427293
6/22/2020,1.113585746
6/23/2020,0
6/24/2020,-0.330396476
6/25/2020,-0.220994475
6/26/2020,0.553709856
6/27/2020,0
6/28/2020,0.220264317
6/29/2020,0.21978022
6/30/2020,-0.548245614
7/1/2020,0.33076075
7/2/2020,-0.21978022
7/3/2020,0
7/4/2020,0
7/5/2020,0
7/6/2020,0
7/7/2020,0.991189427
7/8/2020,-0.327153762
7/9/2020,0
7/10/2020,0
7/11/2020,0
7/12/2020,0
7/13/2020,0
7/14/2020,0.328227571
7/15/2020,0
7/16/2020,0
7/17/2020,0.327153762
7/18/2020,0
7/19/2020,0.326086957
7/20/2020,1.516793066
7/21/2020,1.494130203
7/22/2020,1.261829653
7/23/2020,0.5192108
7/24/2020,0.103305785
7/25/2020,0.206398349
7/26/2020,2.162718847
7/27/2020,0.705645161
7/28/2020,0.2002002
7/29/2020,-0.2997003
7/30/2020,0.300601202
7/31/2020,0.4995005
8/1/2020,0
8/2/2020,0
8/3/2020,2.783300199
8/4/2020,1.160541586
8/5/2020,0.956022945
8/6/2020,-1.515151515
8/7/2020,0
8/8/2020,0
8/9/2020,-0.576923077
8/10/2020,-6.092843327
8/11/2020,0
8/12/2020,2.162718847
8/13/2020,-0.907258065
8/14/2020,0
8/15/2020,-0.508646999
8/16/2020,2.45398773
8/17/2020,0.798403194
8/18/2020,-2.475247525
8/19/2020,-0.710659898
8/20/2020,0.204498978
8/21/2020,0
8/22/2020,-0.204081633
8/23/2020,-0.408997955
8/24/2020,-1.12936345
8/25/2020,1.557632399
8/26/2020,-0.920245399
8/27/2020,1.651186791
8/28/2020,-0.101522843
8/29/2020,0
8/30/2020,0.203252033
8/31/2020,0.60851927
9/1/2020,-1.713709677
9/2/2020,-0.717948718
9/3/2020,-0.103305785
9/4/2020,0.206825233
9/5/2020,0
9/6/2020,-0.619195046
9/7/2020,0.41536864
9/8/2020,0.413650465
9/9/2020,0.720906282
9/10/2020,-0.715746421
9/11/2020,0
9/12/2020,-0.411946447
9/13/2020,1.034126163
9/14/2020,0
9/15/2020,0
9/16/2020,-0.818833163
9/17/2020,0.515995872
9/18/2020,-0.308008214
9/19/2020,0
9/20/2020,-2.059732235
9/21/2020,0.420609884
9/22/2020,-1.884816754
9/23/2020,0
9/24/2020,-0.640341515
9/25/2020,0
9/26/2020,0
9/27/2020,0.644468314
9/28/2020,1.067235859
9/29/2020,-0.105596621
9/30/2020,0.528541226
10/1/2020,0
10/2/2020,-0.315457413
10/3/2020,0
10/4/2020,0.316455696
10/5/2020,-1.472134595
10/6/2020,0
10/7/2020,0.640341515
10/8/2020,1.378579003
10/9/2020,0
10/10/2020,0
10/11/2020,-0.209205021
10/12/2020,-1.467505241
10/13/2020,0.85106383
10/14/2020,-0.52742616
10/15/2020,0.530222694
10/16/2020,-0.52742616
10/17/2020,0
10/18/2020,0.530222694
10/19/2020,0.316455696
10/20/2020,1.051524711
10/21/2020,-1.040582726
10/22/2020,-0.420609884
10/23/2020,0.105596621
10/24/2020,0
10/25/2020,0
10/26/2020,0
10/27/2020,-0.843881857
10/28/2020,0
10/29/2020,0
10/30/2020,0
10/31/2020,0
11/1/2020,0.531914894
11/2/2020,0.317460317
11/3/2020,0.52742616
11/4/2020,1.469045121
11/5/2020,0
